Month,infected_month,x
2020_2,193,0
2020_3,1930,10
2020_4,12089,20
2020_5,2511,30
2020_6,1747,40
2020_7,17373,50
2020_8,31981,60
2020_9,15045,70
2020_10,17529,80
2020_11,47158,90
2020_12,86541,100
2021_1,154700,110
2021_2,41838,120
2021_3,42300,130
2021_4,117482,140
2021_5,153674,150
2021_6,52977,160
2021_7,126687,170
2021_8,567572,180
2021_9,208088,190
2021_10,17392,200
2021_11,4376,210
2021_12,5827,220
2022_1,1075966,230
2022_2,2087974,240
2022_3,1455102,250
2022_4,1223413,260
2022_5,937811,270
